entrance_epoch_time,exit_epoch_time,trial_id,exit_gate_id,datetime,bird_id,bg1,bg2,fg1,fg2,bird_name,phenotype,sex,mass_g,age_days
1743499287.6619902,1743499288.0427845,3,left,2025-04-01T09:21:27Z,8,light,dark,black,black,Right,cfw,female,16.7,1390
1743499552.1203794,1743499552.2706213,3,left,2025-04-01T09:25:52Z,22,light,dark,black,black,Zebra,wt,male,19.1,1023
1743499847.4659538,1743499847.6831293,4,left,2025-04-01T09:30:47Z,50,dark,light,black,black,Skunk,wt,male,24.7,649
1743517266.2556648,1743517266.4195256,7,left,2025-04-01T14:21:06Z,35,light,light,black,white,NA,cfw,female,16.7,684
1743517269.9855952,1743517270.1844926,7,left,2025-04-01T14:21:09Z,14,light,light,black,white,Badger,bc,male,20.3,1081
1743519754.3861687,1743519754.531387,8,left,2025-04-01T15:02:34Z,33,dark,dark,black,white,Moth-Man II,pied,male,19.3,685
1743519873.4049237,1743519873.9305556,8,right,2025-04-01T15:04:33Z,28,dark,dark,black,white,Colobus,wt,male,17,988
1743519886.6108809,1743519887.4315033,8,left,2025-04-01T15:04:46Z,17,dark,dark,black,white,Dalmatian,fawn,female,18.4,1033
1743586808.6402996,1743586808.7864518,3,left,2025-04-02T09:40:08Z,28,light,dark,black,black,Colobus,wt,male,17,988
1743586991.7932632,1743586991.9431455,4,left,2025-04-02T09:43:11Z,28,dark,light,black,black,Colobus,wt,male,17,988
1743588202.266814,1743588202.8682358,3,left,2025-04-02T10:03:22Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1743588206.593859,1743588207.125765,3,left,2025-04-02T10:03:26Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1743589573.1913283,1743589573.3296974,8,left,2025-04-02T10:26:13Z,28,dark,dark,black,white,Colobus,wt,male,17,988
1743589676.1979294,1743589676.4455392,7,left,2025-04-02T10:27:56Z,24,light,light,black,white,Kingsnakes,wt,male,20.7,1003
1743589691.7106638,1743589692.0982175,8,left,2025-04-02T10:28:11Z,53,dark,dark,black,white,Porpose,wt,female,NA,639
1743590134.560346,1743590134.6888125,7,left,2025-04-02T10:35:34Z,28,light,light,black,white,Colobus,wt,male,17,988
1743590349.1281872,1743590349.801618,8,left,2025-04-02T10:39:09Z,40,dark,dark,black,white,Cottonmouth,wt,male,18.3,664
1743591492.6219106,1743591492.8687143,1,left,2025-04-02T10:58:12Z,2,light,dark,white,white,Sheep,bc,male,20.8,2496
1743591614.7165155,1743591615.732623,1,right,2025-04-02T11:00:14Z,52,light,dark,white,white,Trumpet,cfw,male,20.9,645
1743591747.329422,1743591747.6992536,2,left,2025-04-02T11:02:27Z,NA,dark,light,white,white,NA,NA,NA,NA,NA
1743591840.8109026,1743591840.9914217,2,left,2025-04-02T11:04:00Z,2,dark,light,white,white,Sheep,bc,male,20.8,2496
1743591845.120005,1743591845.2480774,1,left,2025-04-02T11:04:05Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
1743592004.1403828,1743592004.2932673,2,left,2025-04-02T11:06:44Z,14,dark,light,white,white,Badger,bc,male,20.3,1081
1743592935.669078,1743592935.880367,1,left,2025-04-02T11:22:15Z,41,light,dark,white,white,Koala,wt,female,15.8,664
1743593048.679023,1743593049.9261365,1,left,2025-04-02T11:24:08Z,40,light,dark,white,white,Cottonmouth,wt,male,18.3,664
1743593156.018567,1743593156.1420467,2,left,2025-04-02T11:25:56Z,28,dark,light,white,white,Colobus,wt,male,17,988
1743593696.5802608,1743593697.130323,1,left,2025-04-02T11:34:56Z,25,light,dark,white,white,PiedBat,wt,male,18.1,996
1743593701.1697135,1743593702.2497373,2,left,2025-04-02T11:35:01Z,40,dark,light,white,white,Cottonmouth,wt,male,18.3,664
1743594196.3349233,1743594196.5042138,1,left,2025-04-02T11:43:16Z,1,light,dark,white,white,Cow,wt,male,18.4,2506
1743594199.411917,1743594199.565328,2,left,2025-04-02T11:43:19Z,NA,dark,light,white,white,NA,cfw,female,NA,NA
1743594230.3001013,1743594231.136041,1,right,2025-04-02T11:43:50Z,10,light,dark,white,white,Penguin,NA,male,19.8,1296
1743594430.460831,1743594430.6579983,1,left,2025-04-02T11:47:10Z,49,light,dark,white,white,Huskey,fawn,female,17.3,655
1743594809.5940173,1743594809.810884,2,left,2025-04-02T11:53:29Z,33,dark,light,white,white,Moth-Man II,pied,male,19.3,685
1743594810.1766386,1743594810.3314393,1,left,2025-04-02T11:53:30Z,4,light,dark,white,white,Ptarmigan,cfw,female,18.1,1879
1743595706.6257608,1743595706.8206422,7,left,2025-04-02T12:08:26Z,2,light,light,black,white,Sheep,bc,male,20.8,2496
1743595818.1813023,1743595818.6425066,7,left,2025-04-02T12:10:18Z,34,light,light,black,white,Orca,wt,female,17.8,684
1743595958.770008,1743595959.0083506,7,left,2025-04-02T12:12:38Z,22,light,light,black,white,Zebra,wt,male,19.1,1023
1743596269.194181,1743596269.4422586,8,left,2025-04-02T12:17:49Z,35,dark,dark,black,white,NA,cfw,female,16.7,684
1743596329.195641,1743596329.3267152,7,right,2025-04-02T12:18:49Z,NA,light,light,black,white,NA,NA,NA,NA,NA
1743596504.0382187,1743596504.3123734,7,left,2025-04-02T12:21:44Z,34,light,light,black,white,Orca,wt,female,17.8,684
1743596536.4616487,1743596536.6938572,8,left,2025-04-02T12:22:16Z,50,dark,dark,black,white,Skunk,wt,male,24.7,649
1743597011.221753,1743597012.1326425,7,left,2025-04-02T12:30:11Z,50,light,light,black,white,Skunk,wt,male,24.7,649
1743597332.9850194,1743597333.140699,4,left,2025-04-02T12:35:32Z,58,dark,light,black,black,NA,cfw,male,NA,623
1743597437.3635564,1743597437.570782,3,left,2025-04-02T12:37:17Z,40,light,dark,black,black,Cottonmouth,wt,male,18.3,664
1743598443.3177028,1743598443.4197457,4,left,2025-04-02T12:54:03Z,22,dark,light,black,black,Zebra,wt,male,19.1,1023
1743598708.1101773,1743598708.1231575,3,left,2025-04-02T12:58:28Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1743599039.2866316,1743599039.446514,4,left,2025-04-02T13:03:59Z,28,dark,light,black,black,Colobus,wt,male,17,988
1743599188.7536526,1743599189.2180953,3,right,2025-04-02T13:06:28Z,37,light,dark,black,black,Anthony Eden,cfw,female,16.4,676
1743599277.9580736,1743599278.1204283,1,left,2025-04-02T13:07:57Z,22,light,dark,white,white,Zebra,wt,male,19.1,1023
1743599372.4557204,1743599372.6801915,2,left,2025-04-02T13:09:32Z,NA,dark,light,white,white,NA,NA,NA,NA,NA
1743599547.7121434,1743599547.8829975,1,left,2025-04-02T13:12:27Z,18,light,dark,white,white,NA,cfw,female,20.6,1031
1743599616.0389376,1743599616.1946304,1,left,2025-04-02T13:13:36Z,32,light,dark,white,white,Moth-Man I,pied,male,18.8,686
1743600342.634957,1743600342.7941408,2,left,2025-04-02T13:25:42Z,1,dark,light,white,white,Cow,wt,male,18.4,2506
1743600667.292639,1743600667.5063355,2,left,2025-04-02T13:31:07Z,17,dark,light,white,white,Dalmatian,fawn,female,18.4,1033
1743601345.3935168,1743601345.571099,1,left,2025-04-02T13:42:25Z,59,light,dark,white,white,NA,pied,female,NA,617
1743601375.5378368,1743601376.226974,1,left,2025-04-02T13:42:55Z,49,light,dark,white,white,Huskey,fawn,female,17.3,655
1743601408.1766484,1743601408.3941483,2,left,2025-04-02T13:43:28Z,33,dark,light,white,white,Moth-Man II,pied,male,19.3,685
1743602158.9613235,1743602159.1660907,2,left,2025-04-02T13:55:58Z,56,dark,light,white,white,NA,wt,female,NA,638
1743602391.4507265,1743602391.597877,1,left,2025-04-02T13:59:51Z,24,light,dark,white,white,Kingsnakes,wt,male,20.7,1003
1743602613.4865997,1743602613.7385037,1,left,2025-04-02T14:03:33Z,16,light,dark,white,white,Lemur,lb,male,17.3,1052
1743602618.443058,1743602618.597479,1,left,2025-04-02T14:03:38Z,35,light,dark,white,white,NA,cfw,female,16.7,684
1743602677.926767,1743602678.2483854,1,right,2025-04-02T14:04:37Z,56,light,dark,white,white,NA,wt,female,NA,638
1743603267.557906,1743603267.7663896,7,left,2025-04-02T14:14:27Z,NA,light,light,black,white,NA,NA,NA,NA,NA
1743603519.0815668,1743603519.2086463,8,left,2025-04-02T14:18:39Z,2,dark,dark,black,white,Sheep,bc,male,20.8,2496
1743604569.8602512,1743604571.3324852,7,left,2025-04-02T14:36:09Z,40,light,light,black,white,Cottonmouth,wt,male,18.3,664
1743604589.9355211,1743604589.9378145,7,left,2025-04-02T14:36:29Z,NA,light,light,black,white,NA,wt,female,NA,NA
1743604609.915033,1743604610.1937516,8,left,2025-04-02T14:36:49Z,NA,dark,dark,black,white,NA,NA,NA,NA,NA
1743604637.1943052,1743604637.2330074,7,left,2025-04-02T14:37:17Z,15,light,light,black,white,Albatross,bc,male,21.3,1080
1743604650.5026605,1743604650.5214558,8,left,2025-04-02T14:37:30Z,9,dark,dark,black,white,Entrance,cfw,female,19.6,1353
1743604705.9873452,1743604706.027305,8,left,2025-04-02T14:38:25Z,2,dark,dark,black,white,Sheep,bc,male,20.8,2496
1743604706.062703,1743604706.0648766,7,left,2025-04-02T14:38:26Z,33,light,light,black,white,Moth-Man II,pied,male,19.3,685
1743604752.6604528,1743604752.6636777,8,left,2025-04-02T14:39:12Z,NA,dark,dark,black,white,NA,NA,NA,NA,NA
1743604752.704516,1743604752.7082317,7,left,2025-04-02T14:39:12Z,NA,light,light,black,white,NA,NA,NA,NA,NA
1743604755.8598826,1743604756.560077,8,left,2025-04-02T14:39:15Z,NA,dark,dark,black,white,NA,NA,NA,NA,NA
1743604919.7830596,1743604919.7868578,8,left,2025-04-02T14:41:59Z,NA,dark,dark,black,white,NA,NA,NA,NA,NA
1743608883.362816,1743608883.5039566,8,left,2025-04-02T15:48:03Z,45,dark,dark,black,white,Beluga,cfw,male,14.7,656
1743609549.4530523,1743609549.619886,8,left,2025-04-02T15:59:09Z,37,dark,dark,black,white,Anthony Eden,cfw,female,16.4,676
1743692940.4410098,1743692940.6109166,5,left,2025-04-03T15:09:00Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1743693386.925644,1743693387.0579274,5,left,2025-04-03T15:16:26Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1743693446.7705426,1743693446.9120607,6,left,2025-04-03T15:17:26Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1743693657.133687,1743693657.2867897,5,left,2025-04-03T15:20:57Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1743693699.980071,1743693700.12196,6,left,2025-04-03T15:21:39Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1743693822.6646938,1743693822.7105002,5,left,2025-04-03T15:23:42Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1743694087.0745242,1743694087.2775571,5,left,2025-04-03T15:28:07Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1743694260.486581,1743694260.9467914,5,left,2025-04-03T15:31:00Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1743694514.272978,1743694514.6368723,6,left,2025-04-03T15:35:14Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1743694648.4081602,1743694649.5401778,6,left,2025-04-03T15:37:28Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1743694833.699993,1743694834.5031316,6,left,2025-04-03T15:40:33Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1743695584.2099514,1743695585.2765503,6,left,2025-04-03T15:53:04Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1743757239.0023634,1743757239.1550014,3,left,2025-04-04T09:00:39Z,2,light,dark,black,black,Sheep,bc,male,20.8,2496
1743757459.5214863,1743757459.644352,3,left,2025-04-04T09:04:19Z,1,light,dark,black,black,Cow,wt,male,18.4,2506
1743758626.8378625,1743758627.1675282,2,left,2025-04-04T09:23:46Z,59,dark,light,white,white,NA,pied,female,NA,617
1743759372.5007522,1743759372.653197,1,left,2025-04-04T09:36:12Z,2,light,dark,white,white,Sheep,bc,male,20.8,2496
1743759373.2106962,1743759373.3448615,2,left,2025-04-04T09:36:13Z,22,dark,light,white,white,Zebra,wt,male,19.1,1023
1743759816.0166123,1743759816.2286134,2,left,2025-04-04T09:43:36Z,17,dark,light,white,white,Dalmatian,fawn,female,18.4,1033
1743759976.54338,1743759976.6949208,1,left,2025-04-04T09:46:16Z,28,light,dark,white,white,Colobus,wt,male,17,988
1743761030.3477094,1743761030.5768912,5,left,2025-04-04T10:03:50Z,33,light,light,white,black,Moth-Man II,pied,male,19.3,685
1743761033.1781538,1743761033.4586573,5,left,2025-04-04T10:03:53Z,59,light,light,white,black,NA,pied,female,NA,617
1743761638.109374,1743761638.5960608,6,left,2025-04-04T10:13:58Z,40,dark,dark,white,black,Cottonmouth,wt,male,18.3,664
1743761771.5605717,1743761771.6976037,6,left,2025-04-04T10:16:11Z,28,dark,dark,white,black,Colobus,wt,male,17,988
1743763375.3621953,1743763375.504289,6,left,2025-04-04T10:42:55Z,1,dark,dark,white,black,Cow,wt,male,18.4,2506
1743763581.3072228,1743763581.905017,5,left,2025-04-04T10:46:21Z,52,light,light,white,black,Trumpet,cfw,male,20.9,645
1743764068.967116,1743764069.138291,5,left,2025-04-04T10:54:28Z,35,light,light,white,black,NA,cfw,female,16.7,684
1743764891.6647928,1743764892.4546356,5,left,2025-04-04T11:08:11Z,39,light,light,white,black,Collie,wt,female,18.3,664
1743764893.0069473,1743764893.0407991,6,left,2025-04-04T11:08:13Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1743765553.7900777,1743765554.5825024,5,left,2025-04-04T11:19:13Z,37,light,light,white,black,Anthony Eden,cfw,female,16.4,676
1744017217.988063,1744017218.20629,2,left,2025-04-07T09:13:37Z,2,dark,light,white,white,Sheep,bc,male,20.8,2496
1744017440.6445313,1744017440.7908373,1,left,2025-04-07T09:17:20Z,28,light,dark,white,white,Colobus,wt,male,17,988
1744017457.368829,1744017457.5783231,2,left,2025-04-07T09:17:37Z,2,dark,light,white,white,Sheep,bc,male,20.8,2496
1744017730.6627426,1744017731.4276376,1,left,2025-04-07T09:22:10Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
1744017823.5654192,1744017823.6722546,1,left,2025-04-07T09:23:43Z,28,light,dark,white,white,Colobus,wt,male,17,988
1744017960.5291364,1744017960.699941,1,left,2025-04-07T09:26:00Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
1744018023.9345849,1744018024.086183,1,left,2025-04-07T09:27:03Z,25,light,dark,white,white,PiedBat,wt,male,18.1,996
1744018043.1722317,1744018043.3821988,1,left,2025-04-07T09:27:23Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
1744018143.6026149,1744018144.3270917,2,left,2025-04-07T09:29:03Z,NA,dark,light,white,white,NA,NA,NA,NA,NA
1744018181.4275668,1744018181.465412,2,left,2025-04-07T09:29:41Z,NA,dark,light,white,white,NA,NA,NA,NA,NA
1744018439.8170614,1744018440.0027735,2,left,2025-04-07T09:33:59Z,33,dark,light,white,white,Moth-Man II,pied,male,19.3,685
1744018812.5100114,1744018812.677309,1,left,2025-04-07T09:40:12Z,27,light,dark,white,white,Eider,brown cheeks,male,23.4,994
1744018813.8702717,1744018814.1675096,2,left,2025-04-07T09:40:13Z,42,dark,light,white,white,Tapir,wt,female,18.8,663
1744018898.8090246,1744018898.9614518,1,left,2025-04-07T09:41:38Z,37,light,dark,white,white,Anthony Eden,cfw,female,16.4,676
1744018918.7321131,1744018918.885934,1,left,2025-04-07T09:41:58Z,1,light,dark,white,white,Cow,wt,male,18.4,2506
1744019080.0842736,1744019080.2609332,1,left,2025-04-07T09:44:40Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
1744021461.2821271,1744021461.417266,4,left,2025-04-07T10:24:21Z,31,dark,light,black,black,NA,cfw,male,16.8,686
1744021933.967779,1744021934.919106,3,right,2025-04-07T10:32:13Z,2,light,dark,black,black,Sheep,bc,male,20.8,2496
1744022106.626709,1744022107.2623663,3,right,2025-04-07T10:35:06Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744022510.068224,1744022510.651363,4,right,2025-04-07T10:41:50Z,44,dark,light,black,black,Polar,cfw,female,17.4,657
1744022517.3970013,1744022517.597699,4,left,2025-04-07T10:41:57Z,9,dark,light,black,black,Entrance,cfw,female,19.6,1353
1744023911.5086577,1744023912.27224,7,left,2025-04-07T11:05:11Z,23,light,light,black,white,Tiramisu,fawn,female,19.6,1021
1744023938.1455483,1744023939.0740204,8,right,2025-04-07T11:05:38Z,31,dark,dark,black,white,NA,cfw,male,16.8,686
1744024354.1846695,1744024354.7285156,8,right,2025-04-07T11:12:34Z,22,dark,dark,black,white,Zebra,wt,male,19.1,1023
1744024547.151965,1744024547.4222076,7,right,2025-04-07T11:15:47Z,NA,light,light,black,white,NA,NA,NA,NA,NA
1744025145.5268052,1744025145.7530572,8,left,2025-04-07T11:25:45Z,22,dark,dark,black,white,Zebra,wt,male,19.1,1023
1744025184.381261,1744025184.483003,8,left,2025-04-07T11:26:24Z,31,dark,dark,black,white,NA,cfw,male,16.8,686
1744026251.9299953,1744026252.217498,8,left,2025-04-07T11:44:11Z,19,dark,dark,black,white,Osprey,wt,male,21.4,1030
1744027099.1898658,1744027099.4224174,6,left,2025-04-07T11:58:19Z,38,dark,dark,white,black,Mulan,wt,male,15.6,675
1744027533.1162608,1744027533.7789974,5,left,2025-04-07T12:05:33Z,40,light,light,white,black,Cottonmouth,wt,male,18.3,664
1744028081.9543445,1744028082.1924765,6,left,2025-04-07T12:14:41Z,59,dark,dark,white,black,NA,pied,female,NA,617
1744028111.6301875,1744028111.978011,5,left,2025-04-07T12:15:11Z,59,light,light,white,black,NA,pied,female,NA,617
1744028544.388796,1744028544.6107435,5,left,2025-04-07T12:22:24Z,17,light,light,white,black,Dalmatian,fawn,female,18.4,1033
1744032669.4794328,1744032669.6406262,2,left,2025-04-07T13:31:09Z,NA,dark,light,white,white,NA,NA,NA,NA,NA
1744032677.1553142,1744032677.291608,1,left,2025-04-07T13:31:17Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
1744099812.49652,1744099812.6469176,6,left,2025-04-08T08:10:12Z,2,dark,dark,white,black,Sheep,bc,male,20.8,2496
1744100251.947644,1744100252.1103954,5,left,2025-04-08T08:17:31Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744100498.4173734,1744100498.8391037,6,left,2025-04-08T08:21:38Z,13,dark,dark,white,black,Oreo,bc,male,20.3,1082
1744101148.5603757,1744101148.694715,6,left,2025-04-08T08:32:28Z,36,dark,dark,white,black,Feathers McGraw,wt,male,17.6,676
1744101332.2271268,1744101332.3471472,6,left,2025-04-08T08:35:32Z,28,dark,dark,white,black,Colobus,wt,male,17,988
1744101478.7838092,1744101479.1937635,6,left,2025-04-08T08:37:58Z,59,dark,dark,white,black,NA,pied,female,NA,617
1744101633.7742517,1744101633.937579,6,left,2025-04-08T08:40:33Z,31,dark,dark,white,black,NA,cfw,male,16.8,686
1744101804.6129627,1744101804.740511,5,left,2025-04-08T08:43:24Z,59,light,light,white,black,NA,pied,female,NA,617
1744101846.8956368,1744101847.0932755,5,left,2025-04-08T08:44:06Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744101984.521326,1744101984.6427743,6,left,2025-04-08T08:46:24Z,22,dark,dark,white,black,Zebra,wt,male,19.1,1023
1744102187.065074,1744102187.0683324,6,left,2025-04-08T08:49:47Z,52,dark,dark,white,black,Trumpet,cfw,male,20.9,645
1744102292.0443745,1744102292.1525714,5,left,2025-04-08T08:51:32Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744102303.9388993,1744102304.1523929,6,left,2025-04-08T08:51:43Z,7,dark,dark,white,black,Left,wt,male,14.7,1633
1744102333.2346814,1744102333.3251054,5,left,2025-04-08T08:52:13Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744102572.1804338,1744102572.4806485,6,left,2025-04-08T08:56:12Z,22,dark,dark,white,black,Zebra,wt,male,19.1,1023
1744102937.9762754,1744102938.8949933,5,left,2025-04-08T09:02:17Z,35,light,light,white,black,NA,cfw,female,16.7,684
1744103002.7315052,1744103003.2840245,6,left,2025-04-08T09:03:22Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1744103270.1009507,1744103270.392881,5,left,2025-04-08T09:07:50Z,56,light,light,white,black,NA,wt,female,NA,638
1744103404.0065897,1744103404.2937057,5,left,2025-04-08T09:10:04Z,7,light,light,white,black,Left,wt,male,14.7,1633
1744103412.7594657,1744103413.012507,5,right,2025-04-08T09:10:12Z,10,light,light,white,black,Penguin,NA,male,19.8,1296
1744103592.7952645,1744103593.0263925,5,left,2025-04-08T09:13:12Z,20,light,light,white,black,NA,cfw,male,21.4,1027
1744103603.7351384,1744103603.8956392,5,left,2025-04-08T09:13:23Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744103632.7077022,1744103632.860541,6,left,2025-04-08T09:13:52Z,29,dark,dark,white,black,Spadefish,wt,male,17.1,987
1744103741.4625688,1744103741.6409028,5,left,2025-04-08T09:15:41Z,29,light,light,white,black,Spadefish,wt,male,17.1,987
1744105178.960852,1744105179.1924822,2,left,2025-04-08T09:39:38Z,NA,dark,light,white,white,NA,NA,NA,NA,NA
1744105406.8745966,1744105407.0249133,2,left,2025-04-08T09:43:26Z,1,dark,light,white,white,Cow,wt,male,18.4,2506
1744105465.9795382,1744105466.2767951,1,left,2025-04-08T09:44:25Z,33,light,dark,white,white,Moth-Man II,pied,male,19.3,685
1744105466.4741511,1744105466.6004703,2,left,2025-04-08T09:44:26Z,52,dark,light,white,white,Trumpet,cfw,male,20.9,645
1744105512.711198,1744105512.856024,2,left,2025-04-08T09:45:12Z,NA,dark,light,white,white,NA,wt,male,NA,NA
1744105569.5480096,1744105569.5515976,2,left,2025-04-08T09:46:09Z,22,dark,light,white,white,Zebra,wt,male,19.1,1023
1744105605.6470416,1744105605.9185972,1,left,2025-04-08T09:46:45Z,1,light,dark,white,white,Cow,wt,male,18.4,2506
1744105607.6839578,1744105607.8752038,1,left,2025-04-08T09:46:47Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
